"","k_2","k_5","k_10"
"1",116715.5187158,120894.582744588,120180.364336061
"2",120359.584480597,121541.366096236,118596.765817428
"3",120334.385135822,116078.581144181,119759.001204135
"4",125465.148265474,115409.704424386,116940.032105582
"5",125917.528268826,116311.655927505,117485.653427886
"6",124657.686043737,118902.115946113,118945.948373213
"7",125166.347454055,117931.325673775,120547.941411729
"8",130742.815453832,124472.981136192,117525.426800548
"9",132514.079887386,118752.641786568,119720.893555698
"10",122572.392362584,114811.675704984,121112.836107197
"11",131392.372912229,113957.519019762,121730.481703736
"12",129846.957462174,123454.732768878,120295.636877414
"13",130111.790996995,119750.378472764,120999.010911442
"14",125597.856387692,120495.227695474,115392.580638758
"15",116913.332935531,118855.945851147,117165.484567918
"16",126246.040092513,124165.595014002,122011.046883581
"17",118575.693030303,120157.948334834,122476.392879293
"18",127578.399948235,123917.043256462,123788.873400358
"19",126214.126269614,120815.32820171,115013.294687382
"20",127884.230933605,119099.458331916,120921.887192746
"21",125347.456646341,115850.013505088,116878.530864245
"22",121757.423061034,119563.693740823,119278.49191639
"23",119582.016110777,126252.98334566,119118.863731656
"24",131213.88359632,123090.376727313,118818.019033633
"25",116148.805319149,122450.767864572,119102.852480694
"26",135827.151913276,114508.874153683,114984.375072184
"27",131234.173328131,122002.958191418,118844.338111277
"28",126542.636431036,125225.157925868,119322.567043671
"29",128382.669336301,118066.518059949,117357.259133877
"30",119614.103721611,121732.317250917,122599.930271524
